iso3,country,hdi_2020,Ranking HDI 2020,Name,Overall Score,Ranking Economic Freedom
NOR,Norway,0.959,1.0,Norway,73.4,28.0
ISL,Iceland,0.957,2.0,Iceland,77.1,11.0
CHE,Switzerland,0.956,3.0,Switzerland,82.0,5.0
HKG,"Hong Kong, China (SAR)",0.949,4.0,Hong Kong,89.1,2.0
DNK,Denmark,0.947,5.0,Denmark,78.3,8.0
AUS,Australia,0.947,5.0,Australia,82.6,4.0
DEU,Germany,0.944,7.0,Germany,73.5,27.0
IRL,Ireland,0.943,8.0,Ireland,80.9,6.0
SWE,Sweden,0.942,9.0,Sweden,74.9,21.0
SGP,Singapore,0.939,10.0,Singapore,89.4,1.0
NLD,Netherlands,0.939,10.0,Netherlands,77.0,14.0
FIN,Finland,0.938,12.0,Finland,75.7,20.0
NZL,New Zealand,0.936,13.0,New Zealand,84.1,3.0
CAN,Canada,0.931,15.0,Canada,78.2,9.0
BEL,Belgium,0.928,16.0,Belgium,68.9,48.0
LUX,Luxembourg,0.924,17.0,Luxembourg,75.8,19.0
GBR,United Kingdom,0.924,17.0,United Kingdom,79.3,7.0
JPN,Japan,0.923,19.0,Japan,73.3,29.0
KOR,Korea (Republic of),0.922,20.0,South Korea,74.0,25.0
USA,United States,0.92,21.0,United States,76.6,17.0
ISR,Israel,0.917,22.0,Israel,74.0,25.0
AUT,Austria,0.913,23.0,Austria,73.3,29.0
SVN,Slovenia,0.913,23.0,Slovenia,67.8,52.0
ARE,United Arab Emirates,0.912,25.0,United Arab Emirates,76.2,18.0
MLT,Malta,0.911,26.0,Malta,69.5,41.0
ESP,Spain,0.899,27.0,Spain,66.9,57.0
FRA,France,0.898,28.0,France,66.0,64.0
CYP,Cyprus,0.894,29.0,Cyprus,70.1,37.0
EST,Estonia,0.892,30.0,Estonia,77.7,10.0
CZE,Czechia,0.892,30.0,Czech Republic,74.8,23.0
ITA,Italy,0.889,32.0,Italy,63.8,74.0
GRC,Greece,0.886,33.0,Greece,59.9,100.0
LTU,Lithuania,0.879,34.0,Lithuania,76.7,16.0
BHR,Bahrain,0.877,35.0,Bahrain,66.3,63.0
POL,Poland,0.876,36.0,Poland,69.1,46.0
LVA,Latvia,0.871,37.0,Latvia,71.9,32.0
SAU,Saudi Arabia,0.87,38.0,Saudi Arabia,62.4,83.0
PRT,Portugal,0.863,39.0,Portugal,67.0,56.0
SVK,Slovakia,0.857,40.0,Slovakia,66.8,59.0
HRV,Croatia,0.855,41.0,Croatia,62.2,84.0
QAT,Qatar,0.854,42.0,Qatar,72.3,31.0
CHL,Chile,0.852,43.0,Chile,76.8,15.0
HUN,Hungary,0.849,44.0,Hungary ,66.4,62.0
ARG,Argentina,0.84,47.0,Argentina,53.1,149.0
TUR,Turkey,0.833,48.0,Turkey,64.4,71.0
BRN,Brunei Darussalam,0.83,49.0,Brunei Darussalam,66.6,61.0
RUS,Russian Federation,0.83,49.0,Russia,61.0,94.0
OMN,Oman,0.827,51.0,Oman,63.6,75.0
MNE,Montenegro,0.826,52.0,Montenegro,61.5,91.0
ROU,Romania,0.824,53.0,Romania,69.7,38.0
KWT,Kuwait,0.822,54.0,Kuwait,63.2,79.0
URY,Uruguay,0.821,55.0,Uruguay ,69.1,46.0
TTO,Trinidad and Tobago,0.818,56.0,Trinidad and Tobago,58.3,109.0
CRI,Costa Rica,0.816,57.0,Costa Rica ,65.8,68.0
BHS,Bahamas,0.815,58.0,The Bahamas,64.5,69.0
KAZ,Kazakhstan,0.814,59.0,Kazakhstan,69.6,39.0
BLR,Belarus,0.807,60.0,Belarus,61.7,88.0
MYS,Malaysia,0.806,61.0,Malaysia ,74.7,24.0
SRB,Serbia,0.804,62.0,Serbia ,66.0,64.0
MUS,Mauritius,0.804,62.0,Mauritius,74.9,21.0
BGR,Bulgaria,0.802,64.0,Bulgaria,70.2,36.0
GEO,Georgia,0.802,64.0,Georgia,77.1,11.0
THA,Thailand,0.802,64.0,Thailand ,69.4,43.0
PAN,Panama,0.801,67.0,Panama ,67.2,54.0
ALB,Albania,0.794,68.0,Albania,66.9,57.0
SYC,Seychelles,0.793,69.0,Seychelles,64.3,72.0
BRB,Barbados,0.788,71.0,Barbados,61.4,92.0
BIH,Bosnia and Herzegovina,0.781,73.0,Bosnia and Herzegovina,62.6,82.0
CUB,Cuba,0.781,73.0,Cuba,26.9,178.0
LKA,Sri Lanka,0.78,75.0,Sri Lanka,57.4,111.0
IRN,Iran (Islamic Republic of),0.777,77.0,Iran,49.2,164.0
UKR,Ukraine,0.775,78.0,Ukraine,54.9,134.0
MKD,North Macedonia,0.774,79.0,Macedonia,69.5,41.0
MDA,Moldova (Republic of),0.766,81.0,Moldova,62.0,87.0
CHN,China,0.764,82.0,China,59.5,102.0
DOM,Dominican Republic,0.764,82.0,Dominican Republic,60.9,95.0
VCT,Saint Vincent and the Grenadines,0.764,82.0,Saint Vincent and the Grenadines,66.8,59.0
PER,Peru,0.762,85.0,Peru,67.9,51.0
BRA,Brazil,0.758,86.0,Brazil,53.7,143.0
ARM,Armenia,0.757,87.0,Armenia,70.6,34.0
COL,Colombia,0.756,88.0,Colombia,69.2,45.0
MEX,Mexico,0.756,88.0,Mexico,66.0,64.0
TON,Tonga,0.745,90.0,Tonga,58.8,105.0
MNG,Mongolia,0.745,90.0,Mongolia,55.9,126.0
SUR,Suriname,0.743,92.0,Suriname,49.5,162.0
TKM,Turkmenistan,0.741,93.0,Turkmenistan,46.5,170.0
TUN,Tunisia,0.737,94.0,Tunisia,55.8,128.0
FJI,Fiji,0.737,94.0,Fiji,63.4,77.0
DZA,Algeria,0.736,96.0,Algeria,46.9,169.0
MDV,Maldives,0.734,97.0,Maldives,56.5,119.0
EGY,Egypt,0.734,97.0,Egypt,54.0,141.0
ECU,Ecuador,0.731,99.0,Ecuador,51.3,158.0
PRY,Paraguay,0.73,100.0,Paraguay ,63.0,80.0
AZE,Azerbaijan,0.73,100.0,Azerbaijan,69.3,44.0
ZAF,South Africa,0.727,102.0,South Africa,58.8,105.0
LBN,Lebanon,0.726,103.0,Lebanon,51.7,157.0
LCA,Saint Lucia,0.723,104.0,Saint Lucia,68.2,50.0
JOR,Jordan,0.723,104.0,Jordan,66.0,64.0
DMA,Dominica,0.722,106.0,Dominica,60.8,97.0
GUY,Guyana,0.721,107.0,Guyana,56.2,124.0
UZB,Uzbekistan,0.721,107.0,Uzbekistan,57.2,114.0
BWA,Botswana,0.713,110.0,Botswana,69.6,39.0
JAM,Jamaica,0.713,110.0,Jamaica ,68.5,49.0
WSM,Samoa,0.712,112.0,Samoa,62.1,85.0
GAB,Gabon,0.71,113.0,Gabon,56.7,117.0
PHL,Philippines,0.71,113.0,Philippines,64.5,69.0
VNM,Viet Nam,0.71,113.0,Vietnam,58.8,105.0
IDN,Indonesia,0.709,116.0,Indonesia,67.2,54.0
VEN,Venezuela (Bolivarian Republic of),0.695,118.0,Venezuela ,25.2,179.0
BOL,Bolivia (Plurinational State of),0.694,119.0,Bolivia,42.8,175.0
BLZ,Belize,0.69,120.0,Belize,57.4,111.0
KGZ,Kyrgyzstan,0.689,121.0,Kyrgyz Republic ,62.9,81.0
MAR,Morocco,0.679,122.0,Morocco,63.3,78.0
SLV,El Salvador,0.672,124.0,El Salvador ,61.6,90.0
BTN,Bhutan,0.668,125.0,Bhutan,62.1,85.0
TJK,Tajikistan,0.664,126.0,Tajikistan,52.2,154.0
CPV,Cabo Verde,0.662,127.0,Cabo Verde,63.6,75.0
BGD,Bangladesh,0.655,128.0,Bangladesh ,56.4,122.0
NIC,Nicaragua,0.654,129.0,Nicaragua ,57.2,114.0
IND,India,0.642,130.0,India,56.5,119.0
GTM,Guatemala,0.635,133.0,Guatemala ,64.0,73.0
GHA,Ghana,0.632,135.0,Ghana,59.4,104.0
FSM,Micronesia (Federated States of),0.629,136.0,Micronesia,52.0,156.0
KIR,Kiribati,0.623,137.0,Kiribati,45.2,172.0
HND,Honduras,0.621,138.0,Honduras ,61.1,93.0
STP,Sao Tome and Principe,0.619,139.0,SÃ£o TomÃ© and PrÃ­ncipe ,56.2,124.0
TLS,Timor-Leste,0.614,140.0,Timor-Leste,45.9,171.0
SWZ,Eswatini (Kingdom of),0.61,141.0,Eswatini,55.3,130.0
VUT,Vanuatu,0.608,142.0,Vanuatu,60.7,98.0
LAO,Lao People's Democratic Republic,0.608,142.0,Laos,55.5,129.0
NPL,Nepal,0.604,144.0,Nepal,54.2,139.0
ZWE,Zimbabwe,0.6,145.0,Zimbabwe,43.1,174.0
MMR,Myanmar,0.6,145.0,Burma,54.0,141.0
GNQ,Equatorial Guinea,0.599,147.0,Equatorial Guinea,48.3,167.0
KHM,Cambodia,0.596,148.0,Cambodia,57.3,113.0
AGO,Angola,0.59,149.0,Angola,52.2,154.0
KEN,Kenya,0.578,150.0,Kenya,55.3,130.0
CMR,Cameroon,0.578,150.0,Cameroon,53.6,145.0
COG,Congo,0.574,153.0,Republic of Congo ,41.8,176.0
ZMB,Zambia,0.57,154.0,Zambia,53.5,147.0
SLB,Solomon Islands,0.565,155.0,Solomon Islands,52.9,150.0
COM,Comoros,0.562,156.0,Comoros,53.7,143.0
PNG,Papua New Guinea,0.56,157.0,Papua New Guinea,58.4,108.0
MRT,Mauritania,0.556,158.0,Mauritania,55.3,130.0
CIV,Côte d'Ivoire,0.551,159.0,CÃ´te d'Ivoire ,59.7,101.0
TZA,Tanzania (United Republic of),0.548,160.0,Tanzania,61.7,88.0
PAK,Pakistan,0.543,161.0,Pakistan ,54.8,135.0
HTI,Haiti,0.54,162.0,Haiti,52.3,153.0
NGA,Nigeria,0.535,163.0,Nigeria,57.2,114.0
TGO,Togo,0.535,163.0,Togo,54.1,140.0
RWA,Rwanda,0.532,165.0,Rwanda,70.9,33.0
BEN,Benin,0.524,166.0,Benin,55.2,133.0
UGA,Uganda,0.524,166.0,Uganda,59.5,102.0
LSO,Lesotho,0.521,168.0,Lesotho,54.5,138.0
MWI,Malawi,0.516,169.0,Malawi,52.8,152.0
SEN,Senegal,0.513,170.0,Senegal,58.0,110.0
DJI,Djibouti,0.51,171.0,Djibouti,52.9,150.0
SDN,Sudan,0.51,171.0,Sudan,45.0,173.0
MDG,Madagascar,0.501,173.0,Madagascar,60.5,99.0
GMB,Gambia,0.501,173.0,The Gambia,56.3,123.0
ETH,Ethiopia,0.498,175.0,Ethiopia,53.6,145.0
ERI,Eritrea,0.494,176.0,Eritrea,38.5,177.0
AFG,Afghanistan,0.483,177.0,Afghanistan,54.7,136.0
GNB,Guinea-Bissau,0.483,177.0,Guinea-Bissau,53.3,148.0
LBR,Liberia,0.48,179.0,Liberia,49.0,165.0
COD,Congo (Democratic Republic of the),0.479,180.0,Democratic Republic of Congo,49.5,162.0
SLE,Sierra Leone,0.475,181.0,Sierra Leone,48.0,168.0
GIN,Guinea,0.466,182.0,Guinea,56.5,119.0
MOZ,Mozambique,0.453,184.0,Mozambique ,50.5,160.0
BFA,Burkina Faso,0.449,185.0,Burkina Faso,56.7,117.0
MLI,Mali,0.427,186.0,Mali,55.9,126.0
BDI,Burundi,0.426,187.0,Burundi,49.0,165.0
CAF,Central African Republic,0.407,188.0,Central African Republic,50.7,159.0
NER,Niger,0.401,189.0,Niger,54.7,136.0
TCD,Chad,0.397,190.0,Chad,50.2,161.0
